INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,30/09/2021,00010500.00,PE      ,00000000.45,00000000.45,00000000.05,00000000.10,000000000044900,            14450,              289,              060,      151728360.00,           3360.00
OPTIDX    ,NIFTY     ,30/09/2021,00011000.00,CE      ,00006700.00,00006730.00,00006625.00,00006643.35,000000000005750,             6850,              137,              098,      121215622.50,       45865622.50
OPTIDX    ,NIFTY     ,30/09/2021,00011000.00,PE      ,00000000.70,00000000.75,00000000.05,00000000.10,000000000077225,           155750,             3115,              962,     1713296195.00,          46195.00
OPTIDX    ,NIFTY     ,30/09/2021,00011500.00,PE      ,00000000.50,00000000.50,00000000.05,00000000.15,000000000014750,            35900,              718,              163,      412858887.50,           8887.50
OPTIDX    ,NIFTY     ,30/09/2021,00012000.00,CE      ,00005675.00,00005722.00,00005661.00,00005670.15,000000000001075,             1050,              021,              021,       18573687.50,        5973687.50
OPTIDX    ,NIFTY     ,30/09/2021,00012000.00,PE      ,00000000.10,00000000.70,00000000.05,00000000.10,000000000050600,           233150,             4663,             3684,     2797875857.50,          75857.50
OPTIDX    ,NIFTY     ,30/09/2021,00012500.00,PE      ,00000000.15,00000000.70,00000000.05,00000000.10,000000000011725,            15300,              306,              055,      191254797.50,           4797.50
OPTIDX    ,NIFTY     ,30/09/2021,00013000.00,CE      ,00004700.00,00004744.75,00004597.35,00004634.00,000000000046050,           195850,             3917,             3428,     3462195482.50,      916145482.50
OPTIDX    ,NIFTY     ,30/09/2021,00013000.00,PE      ,00000000.55,00000000.60,00000000.05,00000000.15,000000000567575,           451150,             9023,             3054,     5865112662.50,         162662.50
OPTIDX    ,NIFTY     ,30/09/2021,00013500.00,CE      ,00004226.60,00004239.75,00004090.00,00004132.95,000000000022150,            21300,              426,              394,      376217632.50,       88667632.50
OPTIDX    ,NIFTY     ,30/09/2021,00013500.00,PE      ,00000000.60,00000000.75,00000000.05,00000000.10,000000000108925,            33800,              676,              244,      456307385.00,           7385.00
OPTIDX    ,NIFTY     ,30/09/2021,00014000.00,CE      ,00003726.60,00003743.85,00003600.00,00003633.90,000000000225875,           256950,             5139,             4295,     4539033322.50,      941733322.50
OPTIDX    ,NIFTY     ,30/09/2021,00014000.00,PE      ,00000000.40,00000000.65,00000000.05,00000000.15,000000000582375,           207400,             4148,             1441,     2903656427.50,          56427.50
OPTIDX    ,NIFTY     ,30/09/2021,00014150.00,CE      ,00003512.05,00003512.05,00003512.05,00003512.05,000000000000150,              050,              001,              001,         883102.50,         175602.50
OPTIDX    ,NIFTY     ,30/09/2021,00014150.00,PE      ,00000000.40,00000000.85,00000000.10,00000000.10,000000000005100,            81650,             1633,             1621,     1155364030.00,          16530.00
OPTIDX    ,NIFTY     ,30/09/2021,00014200.00,CE      ,00003485.25,00003545.60,00003420.00,00003434.30,000000000002150,             8650,              173,              110,      152895410.00,       30065410.00
OPTIDX    ,NIFTY     ,30/09/2021,00014200.00,PE      ,00000000.25,00000000.80,00000000.05,00000000.10,000000000054450,           227050,             4541,              902,     3224220510.00,         110510.00
OPTIDX    ,NIFTY     ,30/09/2021,00014250.00,PE      ,00000000.90,00000001.00,00000000.10,00000000.10,000000000004700,            20250,              405,              062,      288571715.00,           9215.00
OPTIDX    ,NIFTY     ,30/09/2021,00014300.00,CE      ,00003410.00,00003450.00,00003337.50,00003337.50,000000000000900,             1100,              022,              019,       19471510.00,        3741510.00
OPTIDX    ,NIFTY     ,30/09/2021,00014300.00,PE      ,00000000.50,00000000.70,00000000.05,00000000.10,000000000007900,           408750,             8175,             7781,     5845295355.00,         170355.00
OPTIDX    ,NIFTY     ,30/09/2021,00014350.00,PE      ,00000000.20,00000000.35,00000000.10,00000000.15,000000000002000,            60350,             1207,             1191,      866031167.50,           8667.50
OPTIDX    ,NIFTY     ,30/09/2021,00014400.00,CE      ,00003244.55,00003244.55,00003226.00,00003226.00,000000000001300,              250,              005,              005,        4407927.50,         807927.50
OPTIDX    ,NIFTY     ,30/09/2021,00014400.00,PE      ,00000000.55,00000000.70,00000000.05,00000000.10,000000000013500,           151000,             3020,             2428,     2174448847.50,          48847.50
OPTIDX    ,NIFTY     ,30/09/2021,00014450.00,PE      ,00000001.30,00000001.30,00000000.10,00000000.10,000000000001100,             2300,              046,              026,       33236040.00,           1040.00
OPTIDX    ,NIFTY     ,30/09/2021,00014500.00,CE      ,00003190.40,00003243.85,00003091.20,00003123.70,000000000232200,            68150,             1363,             1193,     1205413535.00,      217238535.00
OPTIDX    ,NIFTY     ,30/09/2021,00014500.00,PE      ,00000000.25,00000000.75,00000000.10,00000000.15,000000001293800,           610300,            12206,             1519,     8849587295.00,         237295.00
