INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,FINNIFTY  ,28/10/2021,00018324.00,00018324.00,00018100.00,00018186.45,000000000002800,       61017302.00,             3360,              084,              075
FUTIDX    ,NIFTY     ,28/10/2021,00017523.70,00017562.30,00017433.00,00017530.20,000000012018150,   139119243452.50,          7952950,           159059,           100125
FUTIDX    ,NIFTY     ,25/11/2021,00017518.00,00017597.70,00017470.00,00017565.35,000000000579700,     5911428320.00,           337200,             6744,             4969
FUTIDX    ,NIFTY     ,30/12/2021,00017546.85,00017633.00,00017503.40,00017605.15,000000000070500,     2443867367.50,           139050,             2781,             2014
FUTSTK    ,AARTIIND  ,28/10/2021,00000921.00,00000954.30,00000918.35,00000946.70,000000002567850,     1506293075.00,          1601400,             1884,             1781
FUTSTK    ,AARTIIND  ,25/11/2021,00000934.00,00000950.00,00000928.65,00000948.35,000000000090100,       28051827.50,            29750,              035,              034
FUTSTK    ,ABBOTINDIA,28/10/2021,00020626.55,00022633.25,00020611.00,00022214.50,000000000020900,      945339476.25,            43500,             1740,             1629
FUTSTK    ,ABBOTINDIA,25/11/2021,00021159.65,00022263.20,00021007.10,00022090.25,000000000000200,        9198462.50,              425,              017,              017
FUTSTK    ,ABBOTINDIA,30/12/2021,00021677.90,00022787.00,00021677.90,00022787.00,000000000000025,        1656622.50,              075,              003,              003
FUTSTK    ,ABFRL     ,28/10/2021,00000243.00,00000251.70,00000241.50,00000245.35,000000009477000,     1504426690.00,          6117800,             2353,             2115
FUTSTK    ,ABFRL     ,25/11/2021,00000247.65,00000250.15,00000243.70,00000246.00,000000000127400,       21830770.00,            88400,              034,              034
FUTSTK    ,ACC       ,28/10/2021,00002244.70,00002263.55,00002217.80,00002243.50,000000003016500,     3510566450.00,          1564000,             3128,             2590
FUTSTK    ,ACC       ,25/11/2021,00002235.30,00002260.00,00002225.60,00002249.50,000000000020000,       43833050.00,            19500,              039,              038
FUTSTK    ,ADANIENT  ,28/10/2021,00001465.70,00001474.20,00001427.85,00001465.95,000000026545000,    10905927250.00,          7492000,             7492,             6703
FUTSTK    ,ADANIENT  ,25/11/2021,00001472.25,00001478.00,00001434.55,00001470.85,000000000345000,      583961200.00,           399000,              399,              338
FUTSTK    ,ADANIENT  ,30/12/2021,00001465.00,00001472.50,00001447.65,00001471.85,000000000007000,       11689850.00,             8000,              008,              008
FUTSTK    ,ADANIPORTS,28/10/2021,00000739.90,00000741.90,00000722.70,00000738.30,000000088687500,     5508176750.00,          7510000,             6008,             5306
FUTSTK    ,ADANIPORTS,25/11/2021,00000734.55,00000744.75,00000726.00,00000741.05,000000000682500,      317303562.50,           431250,              345,              315
FUTSTK    ,ADANIPORTS,30/12/2021,00000743.00,00000745.50,00000743.00,00000743.00,000000000007500,       21393812.50,            28750,              023,              018
FUTSTK    ,ALKEM     ,28/10/2021,00003963.90,00004058.70,00003960.00,00004008.90,000000000400200,      621243160.00,           154400,              772,              740
FUTSTK    ,ALKEM     ,25/11/2021,00004001.00,00004060.00,00004001.00,00004020.65,000000000007200,       20170150.00,             5000,              025,              025
FUTSTK    ,ALKEM     ,30/12/2021,00004054.05,00004054.05,00004054.05,00004054.05,000000000000400,        1621620.00,              400,              002,              002
FUTSTK    ,AMARAJABAT,28/10/2021,00000743.80,00000773.70,00000743.10,00000770.60,000000008431000,     2586044400.00,          3393000,             3393,             3213
FUTSTK    ,AMARAJABAT,25/11/2021,00000752.35,00000775.00,00000749.40,00000772.60,000000000327000,       88671450.00,           116000,              116,              116
FUTSTK    ,AMARAJABAT,30/12/2021,00000757.00,00000775.95,00000752.25,00000775.10,000000000010000,        9234850.00,            12000,              012,              012
FUTSTK    ,AMBUJACEM ,28/10/2021,00000390.15,00000406.25,00000390.15,00000404.40,000000018171000,     2520162600.00,          6255000,             2085,             1986
FUTSTK    ,AMBUJACEM ,25/11/2021,00000396.50,00000406.40,00000396.50,00000405.30,000000000492000,       83735100.00,           207000,              069,              068
FUTSTK    ,APLLTD    ,28/10/2021,00000789.05,00000798.00,00000786.55,00000792.40,000000002252800,      319806080.00,           404250,              735,              674
FUTSTK    ,APLLTD    ,25/11/2021,00000791.00,00000795.00,00000790.40,00000794.95,000000000064350,        8286107.50,            10450,              019,              019
