INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,FINNIFTY  ,28/10/2021,00018330.05,00018449.85,00018277.95,00018425.00,000000000001920,       29396714.00,             1600,              040,              040
FUTIDX    ,FINNIFTY  ,25/11/2021,00018469.60,00018476.00,00018391.05,00018476.00,000000000000160,        2213466.00,              120,              003,              003
FUTIDX    ,NIFTY     ,28/10/2021,00017645.00,00017840.00,00017631.00,00017829.75,000000012065500,   111609245310.00,          6291600,           125832,            79387
FUTIDX    ,NIFTY     ,25/11/2021,00017689.70,00017870.00,00017666.80,00017861.35,000000000632700,     4787706385.00,           269500,             5390,             4002
FUTIDX    ,NIFTY     ,30/12/2021,00017718.35,00017905.00,00017708.45,00017896.50,000000000093400,     1440829072.50,            80850,             1617,             1374
FUTSTK    ,AARTIIND  ,28/10/2021,00001026.80,00001076.30,00001013.25,00001069.15,000000002987750,     5267656932.50,          4996300,             5878,             5568
FUTSTK    ,AARTIIND  ,25/11/2021,00001032.10,00001077.20,00001014.50,00001070.60,000000000111350,      219056645.00,           207400,              244,              236
FUTSTK    ,AARTIIND  ,30/12/2021,00001031.00,00001075.00,00001031.00,00001069.70,000000000017850,       17963475.00,            17000,              020,              020
FUTSTK    ,ABBOTINDIA,28/10/2021,00023310.00,00024023.65,00023244.05,00023293.85,000000000030575,      714771490.00,            30375,             1215,             1098
FUTSTK    ,ABBOTINDIA,25/11/2021,00023721.85,00024041.50,00023298.30,00023347.20,000000000001150,       18325183.75,              775,              031,              031
FUTSTK    ,ABBOTINDIA,30/12/2021,00023466.40,00023466.40,00023466.40,00023466.40,000000000000150,         586660.00,              025,              001,              001
FUTSTK    ,ABFRL     ,28/10/2021,00000240.25,00000260.65,00000240.25,00000256.95,000000009763000,     3221700170.00,         12701000,             4885,             4484
FUTSTK    ,ABFRL     ,25/11/2021,00000242.00,00000261.15,00000242.00,00000257.35,000000000221000,      124082920.00,           486200,              187,              162
FUTSTK    ,ABFRL     ,30/12/2021,00000259.40,00000259.85,00000259.40,00000259.75,000000000033800,        9447490.00,            36400,              014,              012
FUTSTK    ,ACC       ,28/10/2021,00002261.00,00002291.00,00002256.15,00002268.70,000000002930500,     1891285650.00,           832000,             1664,             1501
FUTSTK    ,ACC       ,25/11/2021,00002275.40,00002294.00,00002270.00,00002276.80,000000000036000,       67274825.00,            29500,              059,              059
FUTSTK    ,ACC       ,30/12/2021,00002283.00,00002283.95,00002283.00,00002283.35,000000000004500,       10274925.00,             4500,              009,              008
FUTSTK    ,ADANIENT  ,28/10/2021,00001524.70,00001566.00,00001523.00,00001535.90,000000025218000,    12618324150.00,          8158000,             8158,             7206
FUTSTK    ,ADANIENT  ,25/11/2021,00001546.85,00001570.00,00001532.00,00001541.20,000000000364000,      468411650.00,           302000,              302,              297
FUTSTK    ,ADANIENT  ,30/12/2021,00001542.00,00001569.35,00001542.00,00001547.00,000000000016000,       21753800.00,            14000,              014,              014
FUTSTK    ,ADANIPORTS,28/10/2021,00000746.80,00000757.40,00000743.85,00000746.50,000000089376250,     4262832437.50,          5692500,             4554,             3993
FUTSTK    ,ADANIPORTS,25/11/2021,00000753.00,00000760.20,00000748.00,00000749.75,000000000743750,      200256187.50,           266250,              213,              195
FUTSTK    ,ADANIPORTS,30/12/2021,00000757.00,00000763.70,00000751.70,00000752.55,000000000042500,       41567750.00,            55000,              044,              036
FUTSTK    ,ALKEM     ,28/10/2021,00003975.05,00004007.90,00003905.60,00003990.25,000000000417400,      594668720.00,           150400,              752,              719
FUTSTK    ,ALKEM     ,25/11/2021,00003975.00,00004015.00,00003927.00,00004008.90,000000000008200,       17438080.00,             4400,              022,              022
FUTSTK    ,AMARAJABAT,28/10/2021,00000766.05,00000774.70,00000765.35,00000769.50,000000008859000,     1316890600.00,          1710000,             1710,             1623
FUTSTK    ,AMARAJABAT,25/11/2021,00000771.70,00000776.25,00000768.50,00000771.40,000000000413000,       84092650.00,           109000,              109,              108
FUTSTK    ,AMARAJABAT,30/12/2021,00000776.70,00000776.70,00000774.00,00000774.25,000000000032000,        7748150.00,            10000,              010,              010
FUTSTK    ,AMBUJACEM ,28/10/2021,00000406.50,00000409.35,00000405.05,00000405.80,000000018306000,     1357569150.00,          3336000,             1112,             1061
FUTSTK    ,AMBUJACEM ,25/11/2021,00000409.60,00000409.95,00000405.95,00000406.55,000000000570000,       42892500.00,           105000,              035,              035
FUTSTK    ,AMBUJACEM ,30/12/2021,00000407.85,00000407.85,00000407.85,00000407.85,000000000003000,        1223550.00,             3000,              001,              001
FUTSTK    ,APLLTD    ,28/10/2021,00000797.00,00000799.00,00000787.95,00000790.05,000000002318250,      313668052.50,           396000,              720,              653
FUTSTK    ,APLLTD    ,25/11/2021,00000799.95,00000802.40,00000790.25,00000793.90,000000000080850,       31511700.00,            39600,              072,              069
FUTSTK    ,APLLTD    ,30/12/2021,00000800.00,00000802.00,00000796.00,00000796.00,000000000005500,        2198900.00,             2750,              005,              005
FUTSTK    ,APOLLOHOSP,28/10/2021,00004566.50,00004590.00,00004492.85,00004506.35,000000002532000,     2515607612.50,           556500,             2226,             2096
FUTSTK    ,APOLLOHOSP,25/11/2021,00004580.00,00004580.00,00004513.00,00004519.45,000000000043750,      102063900.00,            22500,              090,              087
FUTSTK    ,APOLLOHOSP,30/12/2021,00004554.90,00004565.00,00004524.90,00004531.85,000000000003250,       18203575.00,             4000,              016,              016
FUTSTK    ,APOLLOTYRE,28/10/2021,00000227.55,00000229.15,00000225.25,00000226.35,000000012955000,      793062875.00,          3492500,             1397,             1285
FUTSTK    ,APOLLOTYRE,25/11/2021,00000228.10,00000229.25,00000227.00,00000227.35,000000000375000,       23922625.00,           105000,              042,              042
FUTSTK    ,APOLLOTYRE,30/12/2021,00000229.00,00000229.50,00000228.00,00000228.00,000000000022500,        2858750.00,            12500,              005,              005
FUTSTK    ,ASHOKLEY  ,28/10/2021,00000130.30,00000133.50,00000129.85,00000132.55,000000051507000,     2334052575.00,         17676000,             3928,             3395
FUTSTK    ,ASHOKLEY  ,25/11/2021,00000130.85,00000133.90,00000130.35,00000133.05,000000001305000,       99655650.00,           751500,              167,              165
FUTSTK    ,ASHOKLEY  ,30/12/2021,00000131.65,00000134.20,00000131.50,00000133.35,000000000112500,       13130100.00,            99000,              022,              021
FUTSTK    ,ASIANPAINT,28/10/2021,00003216.00,00003260.00,00003196.20,00003254.15,000000003972300,     4036816230.00,          1245000,             4150,             3956
FUTSTK    ,ASIANPAINT,25/11/2021,00003212.00,00003272.00,00003199.25,00003267.10,000000000102300,      255803490.00,            78600,              262,              248
FUTSTK    ,ASIANPAINT,30/12/2021,00003250.20,00003273.50,00003250.20,00003273.50,000000000009600,       12725145.00,             3900,              013,              013
FUTSTK    ,ASTRAL    ,28/10/2021,00002361.00,00002444.25,00002359.35,00002374.70,000000000685575,      829120778.75,           346500,             1260,             1174
FUTSTK    ,ASTRAL    ,25/11/2021,00002384.05,00002446.00,00002365.10,00002378.00,000000000017325,       24421952.50,            10175,              037,              037
FUTSTK    ,AUBANK    ,28/10/2021,00001191.70,00001222.30,00001177.15,00001219.55,000000004696500,     2322637200.00,          1927000,             3854,             3427
FUTSTK    ,AUBANK    ,25/11/2021,00001182.65,00001223.75,00001181.60,00001220.80,000000000084500,       79711150.00,            66000,              132,              130
