INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,07/10/2021,00014750.00,CE      ,00002809.95,00002874.20,00002809.95,00002874.20,000000000001700,              100,              002,              002,        1759207.50,         284207.50
OPTIDX    ,NIFTY     ,07/10/2021,00014750.00,PE      ,00000000.55,00000000.80,00000000.45,00000000.55,000000000161850,           410100,             8202,             4898,     6049212555.00,         237555.00
OPTIDX    ,NIFTY     ,07/10/2021,00014800.00,PE      ,00000000.65,00000000.95,00000000.55,00000000.85,000000000009850,           146850,             2937,             1502,     2173474417.50,          94417.50
OPTIDX    ,NIFTY     ,07/10/2021,00014850.00,PE      ,00000000.80,00000001.00,00000000.45,00000000.75,000000000083250,           173850,             3477,             2301,     2581794095.00,         121595.00
OPTIDX    ,NIFTY     ,07/10/2021,00014900.00,CE      ,00002862.70,00002862.70,00002736.40,00002736.40,000000000000050,              100,              002,              002,        1769955.00,         279955.00
OPTIDX    ,NIFTY     ,07/10/2021,00014900.00,PE      ,00000000.90,00000001.00,00000000.60,00000000.75,000000000000600,            18400,              368,              069,      274175107.50,          15107.50
OPTIDX    ,NIFTY     ,07/10/2021,00014950.00,PE      ,00000001.00,00000001.25,00000000.70,00000000.75,000000000000400,             2050,              041,              026,       30649327.50,           1827.50
OPTIDX    ,NIFTY     ,07/10/2021,00015000.00,CE      ,00002621.80,00002726.65,00002621.80,00002726.65,000000000000650,              200,              004,              002,        3534845.00,         534845.00
OPTIDX    ,NIFTY     ,07/10/2021,00015000.00,PE      ,00000000.85,00000001.10,00000000.75,00000000.95,000000000458750,           667350,            13347,             6166,    10010868882.50,         618882.50
OPTIDX    ,NIFTY     ,07/10/2021,00015050.00,PE      ,00000000.95,00000001.00,00000000.60,00000000.80,000000000005650,            61950,             1239,             1111,      932395695.00,          48195.00
OPTIDX    ,NIFTY     ,07/10/2021,00015100.00,CE      ,00002660.35,00002660.35,00002540.00,00002540.00,000000000000050,              100,              002,              002,        1770017.50,         260017.50
OPTIDX    ,NIFTY     ,07/10/2021,00015100.00,PE      ,00000001.15,00000001.15,00000000.75,00000000.95,000000000001450,           158250,             3165,             2795,     2389711437.50,         136437.50
OPTIDX    ,NIFTY     ,07/10/2021,00015200.00,PE      ,00000002.50,00000002.50,00000000.70,00000000.85,000000000001800,            20950,              419,              111,      318459125.00,          19125.00
OPTIDX    ,NIFTY     ,07/10/2021,00015250.00,PE      ,00000001.00,00000001.00,00000001.00,00000001.00,000000000000100,              100,              002,              002,        1525100.00,            100.00
OPTIDX    ,NIFTY     ,07/10/2021,00015300.00,PE      ,00000001.25,00000001.30,00000000.65,00000000.90,000000000003350,            19350,              387,              064,      296074105.00,          19105.00
OPTIDX    ,NIFTY     ,07/10/2021,00015350.00,PE      ,00000001.75,00000001.90,00000000.75,00000000.85,000000000009450,            13900,              278,              172,      213379387.50,          14387.50
OPTIDX    ,NIFTY     ,07/10/2021,00015400.00,PE      ,00000001.50,00000001.50,00000000.90,00000000.95,000000000007700,           449750,             8995,             7853,     6926588305.00,         438305.00
OPTIDX    ,NIFTY     ,07/10/2021,00015450.00,PE      ,00000000.95,00000001.20,00000000.80,00000001.10,000000000002600,           102250,             2045,             1866,     1579865152.50,         102652.50
OPTIDX    ,NIFTY     ,07/10/2021,00015500.00,CE      ,00002206.10,00002206.10,00002206.10,00002206.10,000000000001650,              050,              001,              001,         885305.00,         110305.00
OPTIDX    ,NIFTY     ,07/10/2021,00015500.00,PE      ,00000001.20,00000001.45,00000000.80,00000000.95,000000000447350,           710000,            14200,             4806,    11005729282.50,         729282.50
OPTIDX    ,NIFTY     ,07/10/2021,00015550.00,PE      ,00000002.50,00000002.50,00000000.85,00000001.15,000000000000050,           267450,             5349,             5311,     4159137347.50,         289847.50
OPTIDX    ,NIFTY     ,07/10/2021,00015600.00,PE      ,00000001.90,00000002.00,00000000.85,00000001.10,000000000011250,           160550,             3211,             2478,     2504753715.00,         173715.00
OPTIDX    ,NIFTY     ,07/10/2021,00015700.00,PE      ,00000001.95,00000001.95,00000000.90,00000001.00,000000000005100,            78750,             1575,              965,     1236463025.00,          88025.00
OPTIDX    ,NIFTY     ,07/10/2021,00015750.00,PE      ,00000001.45,00000001.45,00000000.55,00000001.05,000000000000100,              500,              010,              010,        7875562.50,            562.50
OPTIDX    ,NIFTY     ,07/10/2021,00015800.00,PE      ,00000003.50,00000003.50,00000000.90,00000001.05,000000000036500,           242150,             4843,             2385,     3826259547.50,         289547.50
OPTIDX    ,NIFTY     ,07/10/2021,00015900.00,CE      ,00001800.35,00001817.75,00001800.35,00001800.70,000000000000850,              200,              004,              004,        3541117.50,         361117.50
OPTIDX    ,NIFTY     ,07/10/2021,00015900.00,PE      ,00000001.00,00000002.20,00000001.00,00000001.20,000000000037250,           222000,             4440,             1034,     3530124082.50,         324082.50
OPTIDX    ,NIFTY     ,07/10/2021,00015950.00,PE      ,00000001.45,00000002.45,00000001.10,00000001.25,000000000006350,            13750,              275,              118,      219333257.50,          20757.50
