INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,INDUSINDBK,25/11/2021,00001138.95,00001139.00,00001124.70,00001129.55,000000000061200,       10198890.00,             9000,              010,              010
FUTSTK    ,INDUSTOWER,30/09/2021,00000317.30,00000323.70,00000302.35,00000307.45,000000004533200,     2362167360.00,          7501200,             2679,             2196
FUTSTK    ,INDUSTOWER,28/10/2021,00000318.00,00000324.45,00000302.00,00000307.05,000000011972800,     5203845920.00,         16651600,             5947,             4803
FUTSTK    ,INDUSTOWER,25/11/2021,00000320.80,00000321.90,00000303.45,00000305.60,000000000184800,       39357080.00,           126000,              045,              045
FUTSTK    ,INFY      ,30/09/2021,00001693.60,00001694.80,00001670.50,00001674.50,000000008040600,    17648706060.00,         10480800,            17468,            10461
FUTSTK    ,INFY      ,28/10/2021,00001688.05,00001689.00,00001663.10,00001666.55,000000033090600,    23499855120.00,         14025600,            23376,            15708
FUTSTK    ,INFY      ,25/11/2021,00001688.45,00001692.85,00001670.25,00001673.10,000000001101000,      255223050.00,           151800,              253,              248
FUTSTK    ,IOC       ,30/09/2021,00000127.15,00000128.20,00000124.25,00000125.15,000000008879000,     1903414500.00,         15145000,             2330,             2045
FUTSTK    ,IOC       ,28/10/2021,00000127.55,00000128.65,00000124.55,00000125.75,000000036764000,     3026541700.00,         23985000,             3690,             3213
FUTSTK    ,IOC       ,25/11/2021,00000128.35,00000128.35,00000124.55,00000125.85,000000001339000,       65629850.00,           520000,              080,              080
FUTSTK    ,IPCALAB   ,30/09/2021,00002367.35,00002434.00,00002352.05,00002409.35,000000000053550,      476756955.00,           200025,              889,              812
FUTSTK    ,IPCALAB   ,28/10/2021,00002372.20,00002443.90,00002352.25,00002422.85,000000000495675,      926551248.75,           386325,             1717,             1599
FUTSTK    ,IPCALAB   ,25/11/2021,00002380.00,00002428.00,00002380.00,00002423.40,000000000004725,        5436303.75,             2250,              010,              010
FUTSTK    ,IRCTC     ,30/09/2021,00003817.95,00003883.90,00003776.60,00003799.55,000000000503750,     5305841807.50,          1388075,             4271,             4049
FUTSTK    ,IRCTC     ,28/10/2021,00003825.00,00003897.50,00003789.50,00003814.15,000000001833000,     7194597783.75,          1874925,             5769,             5423
FUTSTK    ,IRCTC     ,25/11/2021,00003874.25,00003905.00,00003810.00,00003827.30,000000000077350,      101311063.75,            26325,              081,              080
FUTSTK    ,ITC       ,30/09/2021,00000239.40,00000239.70,00000234.75,00000235.50,000000047209600,    12780681120.00,         53913600,            16848,            11709
