INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,FINNIFTY  ,07/10/2021,00018400.00,00018489.95,00018250.05,00018349.95,000000000000320,        9559192.00,              520,              013,              010
FUTIDX    ,FINNIFTY  ,28/10/2021,00018410.15,00018491.45,00018367.00,00018381.00,000000000001960,       43501680.00,             2360,              059,              057
FUTIDX    ,FINNIFTY  ,25/11/2021,00018430.80,00018430.80,00018403.80,00018417.50,000000000000200,        2210098.00,              120,              003,              003
FUTIDX    ,NIFTY     ,28/10/2021,00017772.55,00017884.00,00017753.15,00017808.15,000000012261300,   142996273062.50,          8023450,           160469,           101504
FUTIDX    ,NIFTY     ,25/11/2021,00017791.00,00017909.90,00017782.00,00017841.00,000000000689000,     6336187412.50,           354900,             7098,             5400
FUTIDX    ,NIFTY     ,30/12/2021,00017846.75,00017947.00,00017823.10,00017879.70,000000000166000,     2281698050.00,           127500,             2550,             2043
FUTSTK    ,AARTIIND  ,28/10/2021,00001072.05,00001120.00,00001069.85,00001085.35,000000003047250,     3788935987.50,          3453550,             4063,             3746
FUTSTK    ,AARTIIND  ,25/11/2021,00001074.75,00001120.00,00001074.75,00001087.20,000000000119850,      213947380.00,           194650,              229,              221
FUTSTK    ,AARTIIND  ,30/12/2021,00001110.80,00001118.00,00001100.50,00001100.50,000000000022100,        8488907.50,             7650,              009,              009
FUTSTK    ,ABBOTINDIA,28/10/2021,00022554.95,00022810.65,00021726.05,00021809.90,000000000027525,      414087263.75,            18825,              753,              703
FUTSTK    ,ABBOTINDIA,25/11/2021,00022242.20,00022242.20,00021859.80,00021900.70,000000000001450,       11540843.75,              525,              021,              021
FUTSTK    ,ABFRL     ,28/10/2021,00000244.00,00000262.80,00000244.00,00000260.15,000000009620000,     3009352450.00,         11739000,             4515,             3877
FUTSTK    ,ABFRL     ,25/11/2021,00000248.50,00000262.50,00000247.30,00000260.80,000000000205400,      119135640.00,           462800,              178,              170
FUTSTK    ,ABFRL     ,30/12/2021,00000248.10,00000262.65,00000248.10,00000262.65,000000000028600,        9458670.00,            36400,              014,              014
FUTSTK    ,ACC       ,28/10/2021,00002223.00,00002282.05,00002220.05,00002271.20,000000002895500,     2122476150.00,           938500,             1877,             1727
FUTSTK    ,ACC       ,25/11/2021,00002255.15,00002287.90,00002251.15,00002279.20,000000000036500,       31815950.00,            14000,              028,              027
FUTSTK    ,ACC       ,30/12/2021,00002258.15,00002282.00,00002258.15,00002282.00,000000000006000,        5677150.00,             2500,              005,              005
FUTSTK    ,ADANIENT  ,28/10/2021,00001497.10,00001543.75,00001495.00,00001528.30,000000025241000,    10513042450.00,          6890000,             6890,             6102
FUTSTK    ,ADANIENT  ,25/11/2021,00001508.00,00001548.05,00001503.40,00001533.40,000000000366000,      320419400.00,           209000,              209,              198
FUTSTK    ,ADANIENT  ,30/12/2021,00001507.95,00001549.80,00001507.95,00001540.50,000000000027000,       15296250.00,            10000,              010,              010
FUTSTK    ,ADANIPORTS,28/10/2021,00000712.25,00000741.95,00000712.25,00000737.65,000000089172500,     4537006625.00,          6165000,             4932,             4281
FUTSTK    ,ADANIPORTS,25/11/2021,00000731.95,00000743.90,00000731.95,00000740.70,000000000848750,      239820125.00,           325000,              260,              248
FUTSTK    ,ADANIPORTS,30/12/2021,00000741.00,00000747.00,00000737.35,00000747.00,000000000078750,       24115312.50,            32500,              026,              025
FUTSTK    ,ALKEM     ,28/10/2021,00003961.10,00004011.00,00003908.00,00003928.80,000000000463000,     1807124200.00,           455000,             2275,             1965
