INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,07/10/2021,00014750.00,CE      ,00003028.60,00003102.45,00003028.60,00003060.00,000000000000300,              650,              013,              010,       11580500.00,        1993000.00
OPTIDX    ,NIFTY     ,07/10/2021,00014750.00,PE      ,00000000.15,00000000.20,00000000.05,00000000.10,000000000190400,           446250,             8925,             5366,     6582245820.00,          58320.00
OPTIDX    ,NIFTY     ,07/10/2021,00014800.00,PE      ,00000000.15,00000000.15,00000000.05,00000000.05,000000000137050,           251300,             5026,             1874,     3719261132.50,          21132.50
OPTIDX    ,NIFTY     ,07/10/2021,00014850.00,PE      ,00000000.20,00000000.25,00000000.05,00000000.10,000000000009050,            89700,             1794,             1071,     1332059740.00,          14740.00
OPTIDX    ,NIFTY     ,07/10/2021,00014900.00,PE      ,00000000.20,00000000.20,00000000.05,00000000.05,000000000009950,            31850,              637,              091,      474568535.00,           3535.00
OPTIDX    ,NIFTY     ,07/10/2021,00014950.00,PE      ,00000000.10,00000000.45,00000000.05,00000000.10,000000000001650,             1650,              033,              017,       24667665.00,            165.00
OPTIDX    ,NIFTY     ,07/10/2021,00015000.00,CE      ,00002845.00,00002845.00,00002825.00,00002825.00,000000000001300,             1000,              020,              010,       17836250.00,        2836250.00
OPTIDX    ,NIFTY     ,07/10/2021,00015000.00,PE      ,00000000.20,00000000.25,00000000.05,00000000.05,000000000320400,           314900,             6298,             1319,     4723541897.50,          41897.50
OPTIDX    ,NIFTY     ,07/10/2021,00015050.00,PE      ,00000000.15,00000000.20,00000000.05,00000000.05,000000000006600,            92500,             1850,             1693,     1392140885.00,          15885.00
OPTIDX    ,NIFTY     ,07/10/2021,00015100.00,PE      ,00000000.25,00000000.70,00000000.05,00000000.05,000000000003650,            80050,             1601,             1280,     1208764732.50,           9732.50
OPTIDX    ,NIFTY     ,07/10/2021,00015150.00,PE      ,00000000.15,00000000.80,00000000.05,00000000.10,000000000000650,            31000,              620,              611,      469653255.00,           3255.00
OPTIDX    ,NIFTY     ,07/10/2021,00015200.00,PE      ,00000000.40,00000001.55,00000000.05,00000000.05,000000000003450,           522950,            10459,             9974,     7948894345.00,          54345.00
OPTIDX    ,NIFTY     ,07/10/2021,00015250.00,PE      ,00000000.15,00000000.45,00000000.05,00000000.05,000000000000400,            75500,             1510,             1279,     1151387912.50,          12912.50
OPTIDX    ,NIFTY     ,07/10/2021,00015300.00,PE      ,00000000.15,00000000.55,00000000.05,00000000.05,000000000009150,            19150,              383,              056,      292999380.00,           4380.00
OPTIDX    ,NIFTY     ,07/10/2021,00015350.00,PE      ,00000000.20,00000000.40,00000000.05,00000000.05,000000000009550,            77600,             1552,             1460,     1191171267.50,          11267.50
OPTIDX    ,NIFTY     ,07/10/2021,00015400.00,PE      ,00000000.25,00000000.40,00000000.05,00000000.05,000000000013400,            32350,              647,              072,      498196397.50,           6397.50
OPTIDX    ,NIFTY     ,07/10/2021,00015450.00,PE      ,00000000.15,00000000.20,00000000.05,00000000.05,000000000008200,            85750,             1715,              364,     1324849265.00,          11765.00
OPTIDX    ,NIFTY     ,07/10/2021,00015500.00,CE      ,00002312.00,00002357.00,00002312.00,00002355.00,000000000000600,             1450,              029,              012,       25851350.00,        3376350.00
OPTIDX    ,NIFTY     ,07/10/2021,00015500.00,PE      ,00000000.20,00000000.25,00000000.05,00000000.05,000000000456550,           301800,             6036,             1536,     4677954535.00,          54535.00
OPTIDX    ,NIFTY     ,07/10/2021,00015550.00,PE      ,00000000.60,00000000.60,00000000.05,00000000.05,000000000001350,             2200,              044,              012,       34210292.50,            292.50
OPTIDX    ,NIFTY     ,07/10/2021,00015600.00,PE      ,00000000.15,00000000.65,00000000.05,00000000.05,000000000016950,            37000,              740,              102,      577207980.00,           7980.00
OPTIDX    ,NIFTY     ,07/10/2021,00015650.00,PE      ,00000000.50,00000000.50,00000000.05,00000000.10,000000000001900,             8100,              162,              028,      126766910.00,           1910.00
