INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,FINNIFTY  ,30/09/2021,00018360.05,00018461.90,00018305.00,00018412.85,000000000002040,       77251716.00,             4200,              105,              094
FUTIDX    ,FINNIFTY  ,28/10/2021,00018372.60,00018507.90,00018362.10,00018466.65,000000000001720,       37603684.00,             2040,              051,              046
FUTIDX    ,FINNIFTY  ,25/11/2021,00018645.00,00018645.00,00018645.00,00018645.00,000000000000120,         745800.00,              040,              001,              001
FUTIDX    ,NIFTY     ,30/09/2021,00017669.00,00017794.05,00017613.05,00017708.00,000000007104500,   157664681227.50,          8913150,           178263,           107278
FUTIDX    ,NIFTY     ,28/10/2021,00017700.00,00017812.25,00017640.20,00017732.60,000000008419500,   107036175322.50,          6043200,           120864,            75060
FUTIDX    ,NIFTY     ,25/11/2021,00017670.00,00017850.00,00017670.00,00017773.20,000000000451650,     3732315620.00,           210350,             4207,             3232
FUTSTK    ,AARTIIND  ,30/09/2021,00000923.40,00000942.55,00000914.15,00000938.20,000000000868700,     1466509292.50,          1571650,             1849,             1704
FUTSTK    ,AARTIIND  ,28/10/2021,00000922.75,00000943.75,00000915.10,00000940.85,000000002360450,     1862414770.00,          1991550,             2343,             2130
FUTSTK    ,AARTIIND  ,25/11/2021,00000925.50,00000944.00,00000920.00,00000941.30,000000000083300,       15900907.50,            17000,              020,              019
FUTSTK    ,ABFRL     ,30/09/2021,00000221.00,00000233.60,00000219.20,00000231.75,000000006541600,     1387556040.00,          6081400,             2339,             1743
FUTSTK    ,ABFRL     ,28/10/2021,00000222.85,00000234.40,00000220.00,00000232.70,000000008626800,     1653951780.00,          7209800,             2773,             2129
FUTSTK    ,ABFRL     ,25/11/2021,00000220.75,00000233.75,00000220.75,00000233.55,000000000083200,       28742870.00,           124800,              048,              048
FUTSTK    ,ACC       ,30/09/2021,00002283.00,00002291.60,00002247.75,00002274.10,000000000909500,     3489780400.00,          1535000,             3070,             2401
FUTSTK    ,ACC       ,28/10/2021,00002289.95,00002297.00,00002256.05,00002281.55,000000002511500,     3482699050.00,          1527500,             3055,             2421
FUTSTK    ,ACC       ,25/11/2021,00002291.00,00002297.30,00002265.00,00002297.30,000000000010000,       11400725.00,             5000,              010,              010
FUTSTK    ,ADANIENT  ,30/09/2021,00001467.15,00001500.00,00001464.95,00001487.10,000000005870000,    14890568300.00,         10047000,            10047,             7081
FUTSTK    ,ADANIENT  ,28/10/2021,00001475.50,00001505.15,00001470.55,00001492.70,000000023376000,    14609475150.00,          9823000,             9823,             6768
FUTSTK    ,ADANIENT  ,25/11/2021,00001484.10,00001510.00,00001477.00,00001500.80,000000000144000,      125874450.00,            84000,              084,              081
FUTSTK    ,ADANIPORTS,30/09/2021,00000735.35,00000748.45,00000735.35,00000740.70,000000010593750,     8201667500.00,         11030000,             8824,             5597
FUTSTK    ,ADANIPORTS,28/10/2021,00000741.45,00000751.80,00000737.90,00000744.25,000000083562500,     8395690937.50,         11241250,             8993,             5804
FUTSTK    ,ADANIPORTS,25/11/2021,00000742.80,00000754.00,00000742.80,00000748.20,000000000555000,       81521000.00,           108750,              087,              087
FUTSTK    ,ALKEM     ,30/09/2021,00003910.40,00004039.25,00003910.40,00003946.70,000000000143400,     1429208670.00,           358800,             1794,             1587
FUTSTK    ,ALKEM     ,28/10/2021,00003931.10,00004046.00,00003931.10,00003955.30,000000000353200,     1504914140.00,           377200,             1886,             1697
FUTSTK    ,ALKEM     ,25/11/2021,00003980.00,00004052.05,00003950.00,00003977.75,000000000006800,       44771000.00,            11200,              056,              050
FUTSTK    ,AMARAJABAT,30/09/2021,00000748.80,00000763.95,00000743.25,00000758.80,000000001139000,     1896962550.00,          2511000,             2511,             2282
FUTSTK    ,AMARAJABAT,28/10/2021,00000752.00,00000765.90,00000746.60,00000761.10,000000007498000,     2548798350.00,          3363000,             3363,             3075
FUTSTK    ,AMARAJABAT,25/11/2021,00000751.85,00000767.05,00000749.00,00000762.65,000000000282000,       65277800.00,            86000,              086,              086
FUTSTK    ,AMBUJACEM ,30/09/2021,00000409.05,00000410.65,00000402.75,00000407.80,000000006567000,     3157661850.00,          7749000,             2583,             1801
FUTSTK    ,AMBUJACEM ,28/10/2021,00000410.05,00000411.90,00000403.70,00000408.90,000000012300000,     4299393000.00,         10521000,             3507,             2659
FUTSTK    ,AMBUJACEM ,25/11/2021,00000410.15,00000411.70,00000404.15,00000409.65,000000000309000,       36765750.00,            90000,              030,              030
FUTSTK    ,APLLTD    ,30/09/2021,00000785.70,00000799.80,00000774.60,00000797.00,000000000389400,      654329005.00,           827750,             1505,             1122
FUTSTK    ,APLLTD    ,28/10/2021,00000780.05,00000801.90,00000778.00,00000799.35,000000002024000,      727348655.00,           917400,             1668,             1260
FUTSTK    ,APLLTD    ,25/11/2021,00000787.00,00000805.05,00000780.00,00000803.85,000000000051700,       13542375.00,            17050,              031,              030
FUTSTK    ,APOLLOHOSP,30/09/2021,00004430.00,00004504.40,00004411.10,00004423.50,000000001194250,     4549946275.00,          1023250,             4093,             2884
FUTSTK    ,APOLLOHOSP,28/10/2021,00004433.20,00004514.75,00004429.15,00004437.35,000000002194250,     5050869125.00,          1132500,             4530,             3274
FUTSTK    ,APOLLOHOSP,25/11/2021,00004465.00,00004530.00,00004450.00,00004454.75,000000000035250,       53729175.00,            12000,              048,              043
FUTSTK    ,APOLLOTYRE,30/09/2021,00000224.80,00000229.60,00000220.85,00000225.00,000000003807500,     1317418750.00,          5832500,             2333,             1689
FUTSTK    ,APOLLOTYRE,28/10/2021,00000224.50,00000230.35,00000221.55,00000225.85,000000010880000,     1774227250.00,          7822500,             3129,             2413
FUTSTK    ,APOLLOTYRE,25/11/2021,00000225.70,00000230.75,00000223.00,00000226.95,000000000227500,       27907875.00,           122500,              049,              047
FUTSTK    ,ASHOKLEY  ,30/09/2021,00000129.10,00000131.20,00000126.20,00000129.55,000000012037500,     2658033675.00,         20610000,             4580,             3138
FUTSTK    ,ASHOKLEY  ,28/10/2021,00000128.35,00000131.75,00000126.65,00000130.00,000000044725500,     2884427100.00,         22279500,             4951,             3427
FUTSTK    ,ASHOKLEY  ,25/11/2021,00000129.75,00000132.10,00000127.25,00000130.50,000000000598500,       26931150.00,           207000,              046,              046
FUTSTK    ,ASIANPAINT,30/09/2021,00003372.05,00003386.30,00003315.40,00003321.80,000000001757400,     7566360270.00,          2264700,             7549,             5744
FUTSTK    ,ASIANPAINT,28/10/2021,00003360.00,00003391.35,00003324.30,00003330.75,000000002781300,     7685966655.00,          2295900,             7653,             5803
FUTSTK    ,ASIANPAINT,25/11/2021,00003392.00,00003392.00,00003335.95,00003349.40,000000000039900,       58418175.00,            17400,              058,              057
FUTSTK    ,ASTRAL    ,30/09/2021,00002065.40,00002152.95,00002036.00,00002139.05,000000000173250,      991544166.25,           471625,             1715,             1460
FUTSTK    ,ASTRAL    ,28/10/2021,00002070.00,00002151.15,00002046.00,00002140.90,000000000378125,      769738846.25,           364650,             1326,             1151
FUTSTK    ,ASTRAL    ,25/11/2021,00002080.00,00002155.00,00002080.00,00002149.35,000000000005225,        8773545.00,             4125,              015,              014
FUTSTK    ,AUBANK    ,30/09/2021,00001115.10,00001177.65,00001111.05,00001163.60,000000002395500,     5576513250.00,          4802000,             9604,             6853
FUTSTK    ,AUBANK    ,28/10/2021,00001120.00,00001180.60,00001115.75,00001167.10,000000004078000,     5376383275.00,          4614500,             9229,             6275
FUTSTK    ,AUBANK    ,25/11/2021,00001121.35,00001182.00,00001121.35,00001166.20,000000000081000,       78595675.00,            67500,              135,              123
FUTSTK    ,AUROPHARMA,30/09/2021,00000722.60,00000738.00,00000719.00,00000729.90,000000004715750,     4118866602.50,          5632250,             8665,             5982
FUTSTK    ,AUROPHARMA,28/10/2021,00000726.85,00000740.00,00000721.00,00000732.05,000000011554400,     4546334617.50,          6196450,             9533,             6797
FUTSTK    ,AUROPHARMA,25/11/2021,00000731.20,00000742.00,00000726.00,00000734.50,000000000318500,       41193392.50,            55900,              086,              084
FUTSTK    ,AXISBANK  ,30/09/2021,00000782.00,00000789.25,00000779.90,00000783.55,000000009498000,    12903325680.00,         16454400,            13712,            11511
FUTSTK    ,AXISBANK  ,28/10/2021,00000784.30,00000791.85,00000782.25,00000785.95,000000028650000,    13381412340.00,         17010000,            14175,            11719
FUTSTK    ,AXISBANK  ,25/11/2021,00000789.60,00000793.00,00000786.50,00000787.75,000000000164400,       52084020.00,            66000,              055,              055
FUTSTK    ,BAJAJ-AUTO,30/09/2021,00003888.90,00003939.65,00003851.90,00003901.50,000000000841500,     4276423187.50,          1099750,             4399,             3093
FUTSTK    ,BAJAJ-AUTO,28/10/2021,00003903.00,00003950.00,00003864.00,00003914.55,000000002457500,     5121083625.00,          1311750,             5247,             3885
FUTSTK    ,BAJAJ-AUTO,25/11/2021,00003911.65,00003954.05,00003893.00,00003935.30,000000000038750,       36214637.50,             9250,              037,              037
FUTSTK    ,BAJAJFINSV,30/09/2021,00017539.30,00017697.00,00017358.40,00017495.75,000000000363075,     6793997928.75,           388200,             5176,             4220
FUTSTK    ,BAJAJFINSV,28/10/2021,00017550.65,00017742.65,00017400.00,00017540.20,000000000544650,     6414048660.00,           365400,             4872,             4055
FUTSTK    ,BAJAJFINSV,25/11/2021,00017591.45,00017701.00,00017480.00,00017656.65,000000000008625,       33001987.50,             1875,              025,              025
FUTSTK    ,BAJFINANCE,30/09/2021,00007537.60,00007643.25,00007466.00,00007534.70,000000001410625,    12825045937.50,          1699875,            13599,            10315
FUTSTK    ,BAJFINANCE,28/10/2021,00007533.60,00007667.15,00007486.50,00007556.15,000000003330875,    14387150150.00,          1901000,            15208,            11685
FUTSTK    ,BAJFINANCE,25/11/2021,00007536.35,00007686.70,00007523.20,00007588.30,000000000033250,      113003818.75,            14875,              119,              114
FUTSTK    ,BALKRISIND,30/09/2021,00002526.80,00002574.70,00002500.10,00002515.00,000000000610000,     1582658840.00,           623200,             1558,             1335
FUTSTK    ,BALKRISIND,28/10/2021,00002539.05,00002587.35,00002506.60,00002522.05,000000001314000,     2209053140.00,           867600,             2169,             1931
FUTSTK    ,BALKRISIND,25/11/2021,00002554.15,00002574.30,00002523.80,00002523.80,000000000012400,       10237760.00,             4000,              010,              010
FUTSTK    ,BANDHANBNK,30/09/2021,00000285.00,00000290.50,00000279.55,00000285.50,000000010364400,     3177481950.00,         11111400,             6173,             3896
FUTSTK    ,BANDHANBNK,28/10/2021,00000286.10,00000291.45,00000280.80,00000286.30,000000019706400,     3497756850.00,         12189600,             6772,             4476
FUTSTK    ,BANDHANBNK,25/11/2021,00000284.00,00000292.15,00000283.50,00000287.65,000000000513000,       45082440.00,           156600,              087,              084
FUTSTK    ,BANKBARODA,30/09/2021,00000078.70,00000082.20,00000077.95,00000081.60,000000055446300,     5762196180.00,         71229600,             6088,             5229
FUTSTK    ,BANKBARODA,28/10/2021,00000079.05,00000082.50,00000078.25,00000081.90,000000124956000,     6742991970.00,         82976400,             7092,             5938
FUTSTK    ,BANKBARODA,25/11/2021,00000078.95,00000082.65,00000078.95,00000082.25,000000002960100,      274398930.00,          3346200,              286,              233
FUTSTK    ,BATAINDIA ,30/09/2021,00001759.95,00001779.95,00001742.70,00001764.20,000000000506000,     1641610630.00,           933350,             1697,             1430
FUTSTK    ,BATAINDIA ,28/10/2021,00001760.15,00001785.00,00001750.00,00001770.55,000000001537800,     1829662065.00,          1036200,             1884,             1591
FUTSTK    ,BATAINDIA ,25/11/2021,00001775.00,00001780.00,00001764.95,00001777.60,000000000010450,        9753590.00,             5500,              010,              010
FUTSTK    ,BEL       ,30/09/2021,00000210.85,00000212.50,00000203.85,00000205.40,000000006874200,     2361449960.00,         11384800,             2996,             2457
FUTSTK    ,BEL       ,28/10/2021,00000211.80,00000213.25,00000204.40,00000206.05,000000020694800,     3046347900.00,         14656600,             3857,             3358
FUTSTK    ,BEL       ,25/11/2021,00000212.50,00000212.50,00000204.90,00000206.60,000000000433200,       74537380.00,           357200,              094,              092
FUTSTK    ,BERGEPAINT,30/09/2021,00000818.30,00000820.55,00000809.25,00000817.55,000000001909600,     1503769850.00,          1845800,             1678,             1083
FUTSTK    ,BERGEPAINT,28/10/2021,00000819.00,00000822.30,00000811.85,00000820.15,000000003956700,     1603072845.00,          1961300,             1783,             1202
FUTSTK    ,BERGEPAINT,25/11/2021,00000821.35,00000823.00,00000816.05,00000823.00,000000000064900,       11723415.00,            14300,              013,              013
FUTSTK    ,BHARATFORG,30/09/2021,00000748.85,00000751.80,00000735.90,00000744.80,000000002982000,     3406876950.00,          4581000,             3054,             2692
FUTSTK    ,BHARATFORG,28/10/2021,00000753.00,00000754.95,00000738.10,00000747.30,000000008362500,     4301974950.00,          5760000,             3840,             3432
FUTSTK    ,BHARATFORG,25/11/2021,00000745.00,00000753.90,00000741.90,00000749.80,000000000117000,       43759425.00,            58500,              039,              035
FUTSTK    ,BHARTIARTL,30/09/2021,00000695.10,00000702.40,00000689.25,00000693.85,000000022360416,    17233809890.60,         24817874,            13159,             9646
FUTSTK    ,BHARTIARTL,28/10/2021,00000697.00,00000705.35,00000693.00,00000697.65,000000057257074,    19886725386.60,         28486144,            15104,            11220
FUTSTK    ,BHARTIARTL,25/11/2021,00000697.25,00000706.30,00000694.85,00000700.15,000000000614836,      163704422.80,           233864,              124,              122
FUTSTK    ,BHEL      ,30/09/2021,00000060.90,00000064.10,00000060.30,00000062.80,000000024654000,     5378609250.00,         85953000,             8186,             6706
FUTSTK    ,BHEL      ,28/10/2021,00000061.20,00000064.35,00000060.65,00000063.00,000000099571500,     5899924275.00,         93975000,             8950,             7342
FUTSTK    ,BHEL      ,25/11/2021,00000060.95,00000064.60,00000060.95,00000063.20,000000002646000,      150281250.00,          2383500,              227,              220
FUTSTK    ,BIOCON    ,30/09/2021,00000361.95,00000366.65,00000360.00,00000362.95,000000005391200,     2378593875.00,          6529700,             2839,             2138
FUTSTK    ,BIOCON    ,28/10/2021,00000362.95,00000367.90,00000361.20,00000364.15,000000013921900,     2521402830.00,          6900000,             3000,             2311
FUTSTK    ,BIOCON    ,25/11/2021,00000364.00,00000369.10,00000364.00,00000366.00,000000000287500,       30369085.00,            82800,              036,              036
FUTSTK    ,BOSCHLTD  ,30/09/2021,00015582.90,00015967.05,00015515.45,00015670.45,000000000043150,     1027086745.00,            65050,             1301,             1128
FUTSTK    ,BOSCHLTD  ,28/10/2021,00015649.90,00015999.00,00015600.00,00015726.10,000000000121000,     1666522510.00,           105200,             2104,             1855
FUTSTK    ,BOSCHLTD  ,25/11/2021,00015837.00,00015917.05,00015783.00,00015783.00,000000000002500,        7922750.00,              500,              010,              010
FUTSTK    ,BPCL      ,30/09/2021,00000429.15,00000437.60,00000425.85,00000436.40,000000011854800,     5790033270.00,         13365000,             7425,             5037
FUTSTK    ,BPCL      ,28/10/2021,00000430.85,00000439.20,00000427.70,00000438.05,000000032311800,     5748793020.00,         13219200,             7344,             4869
FUTSTK    ,BPCL      ,25/11/2021,00000431.20,00000439.00,00000429.00,00000438.35,000000000925200,      148715460.00,           342000,              190,              189
FUTSTK    ,BRITANNIA ,30/09/2021,00003998.40,00004029.35,00003963.50,00003981.85,000000000288800,     2106225460.00,           528400,             2642,             2279
FUTSTK    ,BRITANNIA ,28/10/2021,00004021.15,00004040.00,00003978.40,00003993.60,000000000895200,     2108552310.00,           527400,             2637,             2221
FUTSTK    ,BRITANNIA ,25/11/2021,00004000.00,00004022.10,00003990.00,00004022.10,000000000007600,        4807620.00,             1200,              006,              006
FUTSTK    ,CADILAHC  ,30/09/2021,00000541.00,00000557.35,00000539.50,00000549.10,000000005803600,     3439198290.00,          6265600,             2848,             2651
FUTSTK    ,CADILAHC  ,28/10/2021,00000542.70,00000558.90,00000541.15,00000550.80,000000013501400,     4359168770.00,          7915600,             3598,             3344
FUTSTK    ,CADILAHC  ,25/11/2021,00000544.65,00000560.50,00000543.30,00000554.00,000000000699600,      101161280.00,           182600,              083,              080
FUTSTK    ,CANBK     ,30/09/2021,00000162.50,00000172.35,00000161.35,00000168.55,000000015989400,     9576099990.00,         57180600,            10589,             7247
FUTSTK    ,CANBK     ,28/10/2021,00000162.20,00000173.05,00000162.00,00000169.30,000000069384600,    11645958330.00,         69130800,            12802,             9173
FUTSTK    ,CANBK     ,25/11/2021,00000163.00,00000173.25,00000162.75,00000169.55,000000001350000,      330211620.00,          1938600,              359,              339
FUTSTK    ,CANFINHOME,30/09/2021,00000647.30,00000667.35,00000644.60,00000654.35,000000001342575,     1548070387.50,          2358525,             2419,             1579
FUTSTK    ,CANFINHOME,28/10/2021,00000651.40,00000669.50,00000647.00,00000656.50,000000003085875,     1472332728.75,          2235675,             2293,             1474
FUTSTK    ,CANFINHOME,25/11/2021,00000663.00,00000663.05,00000663.00,00000663.05,000000000035100,        2585846.25,             3900,              004,              004
FUTSTK    ,CHOLAFIN  ,30/09/2021,00000552.95,00000576.50,00000544.55,00000572.70,000000006162500,     4011874500.00,          7125000,             5700,             4335
FUTSTK    ,CHOLAFIN  ,28/10/2021,00000554.95,00000578.20,00000546.00,00000574.50,000000009520000,     4726829937.50,          8363750,             6691,             5250
FUTSTK    ,CHOLAFIN  ,25/11/2021,00000556.00,00000578.90,00000554.00,00000576.70,000000000055000,       15695375.00,            27500,              022,              021
FUTSTK    ,CIPLA     ,30/09/2021,00000969.45,00001006.65,00000966.55,00000984.65,000000006259500,     3934258380.00,          3985150,             6131,             5451
FUTSTK    ,CIPLA     ,28/10/2021,00000979.60,00001009.35,00000970.00,00000988.75,000000004638400,     4594699720.00,          4641000,             7140,             6482
