INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,07/10/2021,00014750.00,CE      ,00003050.00,00003050.00,00002880.10,00002916.85,000000000000450,             1900,              038,              015,       33730540.00,        5705540.00
OPTIDX    ,NIFTY     ,07/10/2021,00014750.00,PE      ,00000000.40,00000000.55,00000000.10,00000000.15,000000000179500,           754200,            15084,             9018,    11124707020.00,         257020.00
OPTIDX    ,NIFTY     ,07/10/2021,00014800.00,PE      ,00000001.00,00000001.00,00000000.10,00000000.15,000000000107300,           307650,             6153,             2023,     4553302517.50,          82517.50
OPTIDX    ,NIFTY     ,07/10/2021,00014850.00,PE      ,00000000.60,00000000.95,00000000.10,00000000.15,000000000036150,           333750,             6675,             5568,     4956320900.00,         133400.00
OPTIDX    ,NIFTY     ,07/10/2021,00014900.00,PE      ,00000000.55,00000000.55,00000000.15,00000000.15,000000000010000,            62600,             1252,              841,      932763552.50,          23552.50
OPTIDX    ,NIFTY     ,07/10/2021,00014950.00,PE      ,00000000.90,00000000.90,00000000.20,00000000.20,000000000000550,             2750,              055,              013,       41113675.00,           1175.00
OPTIDX    ,NIFTY     ,07/10/2021,00015000.00,CE      ,00002780.75,00002780.75,00002551.55,00002644.10,000000000001650,             1100,              022,              005,       19369047.50,        2869047.50
OPTIDX    ,NIFTY     ,07/10/2021,00015000.00,PE      ,00000000.40,00000000.60,00000000.15,00000000.20,000000000382800,           483150,             9663,             4899,     7247401842.50,         151842.50
OPTIDX    ,NIFTY     ,07/10/2021,00015050.00,PE      ,00000000.35,00000000.65,00000000.10,00000000.25,000000000006050,             5500,              110,              026,       82776692.50,           1692.50
OPTIDX    ,NIFTY     ,07/10/2021,00015100.00,PE      ,00000000.75,00000000.75,00000000.15,00000000.20,000000000003400,            17700,              354,              052,      267274805.00,           4805.00
OPTIDX    ,NIFTY     ,07/10/2021,00015150.00,PE      ,00000000.95,00000000.95,00000000.10,00000000.20,000000000000300,            91650,             1833,             1790,     1388543520.00,          46020.00
