INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,FINNIFTY  ,28/10/2021,00018379.85,00018469.95,00018278.95,00018372.50,000000000001880,       61072324.00,             3320,              083,              075
FUTIDX    ,FINNIFTY  ,25/11/2021,00018423.05,00018423.05,00018420.00,00018420.00,000000000000160,        1473722.00,              080,              002,              002
FUTIDX    ,NIFTY     ,28/10/2021,00017571.00,00017745.00,00017560.05,00017706.25,000000012132500,   121946941117.50,          6896550,           137931,            92066
FUTIDX    ,NIFTY     ,25/11/2021,00017635.40,00017773.80,00017588.65,00017742.90,000000000599300,     4584239212.50,           258800,             5176,             3946
FUTIDX    ,NIFTY     ,30/12/2021,00017651.95,00017810.55,00017638.30,00017776.85,000000000077100,     1511873040.00,            85150,             1703,             1466
FUTSTK    ,AARTIIND  ,28/10/2021,00000951.40,00001031.00,00000948.05,00001027.20,000000003060850,     8527098467.50,          8528050,            10033,             9283
FUTSTK    ,AARTIIND  ,25/11/2021,00000951.00,00001031.00,00000951.00,00001027.90,000000000109650,      337240432.50,           335750,              395,              379
FUTSTK    ,AARTIIND  ,30/12/2021,00000985.50,00001027.10,00000981.60,00001027.10,000000000010200,       13669785.00,            13600,              016,              014
FUTSTK    ,ABBOTINDIA,28/10/2021,00022943.95,00023458.50,00022301.15,00023252.80,000000000027925,     1466989312.50,            63725,             2549,             2372
FUTSTK    ,ABBOTINDIA,25/11/2021,00023491.90,00023491.90,00022448.00,00023356.20,000000000000925,       44496396.25,             1925,              077,              075
FUTSTK    ,ABBOTINDIA,30/12/2021,00023500.00,00023500.00,00023200.00,00023200.00,000000000000125,        3500581.25,              150,              006,              006
FUTSTK    ,ABFRL     ,28/10/2021,00000245.85,00000246.75,00000235.20,00000241.95,000000009523800,     1261644280.00,          5257200,             2022,             1827
FUTSTK    ,ABFRL     ,25/11/2021,00000244.40,00000244.40,00000236.85,00000242.90,000000000156000,       61247550.00,           254800,              098,              095
FUTSTK    ,ABFRL     ,30/12/2021,00000242.60,00000242.60,00000242.60,00000242.60,000000000002600,         630760.00,             2600,              001,              001
FUTSTK    ,ACC       ,28/10/2021,00002239.65,00002287.45,00002236.90,00002270.20,000000003054500,     2478620075.00,          1092000,             2184,             2005
FUTSTK    ,ACC       ,25/11/2021,00002254.85,00002294.00,00002254.85,00002278.30,000000000025500,       35352000.00,            15500,              031,              031
