INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,FINNIFTY  ,28/10/2021,00018433.00,00018586.80,00018280.05,00018330.95,000000000002080,       76638034.00,             4160,              104,              090
FUTIDX    ,FINNIFTY  ,25/11/2021,00018491.50,00018540.35,00018491.50,00018540.35,000000000000160,        1481274.00,              080,              002,              002
FUTIDX    ,NIFTY     ,28/10/2021,00017838.70,00017865.00,00017603.00,00017627.20,000000012842150,   182390467355.00,         10278600,           205572,           128741
FUTIDX    ,NIFTY     ,25/11/2021,00017851.60,00017895.00,00017641.40,00017662.95,000000000657500,     7267161967.50,           408500,             8170,             6101
FUTIDX    ,NIFTY     ,30/12/2021,00017889.50,00017931.00,00017681.50,00017699.05,000000000140550,     2516094537.50,           141100,             2822,             2211
FUTSTK    ,AARTIIND  ,28/10/2021,00001067.40,00001087.40,00001057.00,00001064.95,000000003027700,     3257639832.50,          3039600,             3576,             3236
FUTSTK    ,AARTIIND  ,25/11/2021,00001070.00,00001085.00,00001060.80,00001064.80,000000000120700,      146027832.50,           136000,              160,              158
FUTSTK    ,AARTIIND  ,30/12/2021,00001075.60,00001080.00,00001068.75,00001070.10,000000000018700,        9119607.50,             8500,              010,              010
FUTSTK    ,ABBOTINDIA,28/10/2021,00023399.95,00023770.90,00021899.95,00022184.70,000000000026450,      818104673.75,            36325,             1453,             1199
FUTSTK    ,ABBOTINDIA,25/11/2021,00023433.40,00023433.40,00022101.00,00022352.10,000000000001125,       18682852.50,              825,              033,              033
FUTSTK    ,ABBOTINDIA,30/12/2021,00023040.00,00023040.00,00022500.00,00022500.00,000000000000175,        1714281.25,              075,              003,              003
FUTSTK    ,ABFRL     ,28/10/2021,00000257.15,00000258.00,00000240.15,00000241.45,000000009318400,     1650145510.00,          6630000,             2550,             2341
FUTSTK    ,ABFRL     ,25/11/2021,00000258.25,00000258.25,00000241.50,00000242.35,000000000213200,       66913210.00,           267800,              103,              103
FUTSTK    ,ABFRL     ,30/12/2021,00000259.20,00000259.20,00000255.60,00000255.60,000000000039000,        1338480.00,             5200,              002,              002
FUTSTK    ,ACC       ,28/10/2021,00002268.75,00002282.00,00002205.00,00002212.40,000000003031000,     2236526775.00,           996500,             1993,             1863
FUTSTK    ,ACC       ,25/11/2021,00002277.00,00002279.30,00002213.25,00002224.50,000000000037500,       50512650.00,            22500,              045,              043
FUTSTK    ,ACC       ,30/12/2021,00002277.70,00002277.70,00002235.00,00002235.00,000000000005000,        2256350.00,             1000,              002,              002
FUTSTK    ,ADANIENT  ,28/10/2021,00001538.55,00001548.45,00001476.30,00001485.55,000000025333000,     8660019200.00,          5742000,             5742,             5176
FUTSTK    ,ADANIENT  ,25/11/2021,00001542.15,00001548.00,00001482.35,00001490.45,000000000396000,      347053800.00,           230000,              230,              223
FUTSTK    ,ADANIENT  ,30/12/2021,00001536.15,00001536.15,00001493.00,00001501.10,000000000021000,       34757050.00,            23000,              023,              023
FUTSTK    ,ADANIPORTS,28/10/2021,00000747.70,00000751.10,00000722.40,00000725.00,000000089701250,     5234101312.50,          7125000,             5700,             5020
FUTSTK    ,ADANIPORTS,25/11/2021,00000750.95,00000754.00,00000725.65,00000728.15,000000000872500,      304169250.00,           412500,              330,              315
FUTSTK    ,ADANIPORTS,30/12/2021,00000750.00,00000751.45,00000729.90,00000730.85,000000000093750,       43259187.50,            58750,              047,              044
FUTSTK    ,ALKEM     ,28/10/2021,00004002.05,00004002.05,00003922.20,00003947.70,000000000418000,      453639240.00,           114800,              574,              550
FUTSTK    ,ALKEM     ,25/11/2021,00003984.65,00003985.00,00003934.60,00003957.95,000000000008400,        8709590.00,             2200,              011,              010
FUTSTK    ,ALKEM     ,30/12/2021,00003990.30,00003990.30,00003990.30,00003990.30,000000000000600,         798060.00,              200,              001,              001
