INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,30/09/2021,00010500.00,PE      ,00000000.80,00000000.80,00000000.25,00000000.45,000000000047550,            18850,              377,              071,      197934202.50,           9202.50
OPTIDX    ,NIFTY     ,30/09/2021,00011000.00,CE      ,00006816.15,00006816.15,00006648.00,00006695.00,000000000009900,             3550,              071,              070,       62739410.00,       23689410.00
OPTIDX    ,NIFTY     ,30/09/2021,00011000.00,PE      ,00000001.00,00000001.05,00000000.10,00000000.25,000000000061825,            87800,             1756,              920,      965844955.00,          44955.00
OPTIDX    ,NIFTY     ,30/09/2021,00011500.00,PE      ,00000001.00,00000001.00,00000000.25,00000000.30,000000000013150,           103500,             2070,             1415,     1190301922.50,          51922.50
OPTIDX    ,NIFTY     ,30/09/2021,00012000.00,CE      ,00005673.80,00005786.80,00005658.10,00005757.00,000000000001975,             1000,              020,              013,       17753190.00,        5753190.00
OPTIDX    ,NIFTY     ,30/09/2021,00012000.00,PE      ,00000001.00,00000001.00,00000000.25,00000000.55,000000000055500,            25950,              519,              188,      311415477.50,          15477.50
OPTIDX    ,NIFTY     ,30/09/2021,00012500.00,PE      ,00000000.95,00000001.00,00000000.30,00000000.40,000000000015725,            21050,              421,              092,      263138167.50,          13167.50
OPTIDX    ,NIFTY     ,30/09/2021,00013000.00,CE      ,00004650.00,00004803.60,00004630.00,00004716.20,000000000235800,           113200,             2264,             1992,     2003146452.50,      531546452.50
OPTIDX    ,NIFTY     ,30/09/2021,00013000.00,PE      ,00000001.05,00000001.70,00000000.40,00000000.55,000000000611200,           230950,             4619,             2063,     3002513377.50,         163377.50
OPTIDX    ,NIFTY     ,30/09/2021,00013500.00,CE      ,00004154.95,00004285.00,00004130.75,00004209.20,000000000043075,            13350,              267,              209,      235858100.00,       55633100.00
OPTIDX    ,NIFTY     ,30/09/2021,00013500.00,PE      ,00000000.90,00000001.30,00000000.50,00000000.55,000000000126025,            34150,              683,              277,      461051845.00,          26845.00
OPTIDX    ,NIFTY     ,30/09/2021,00014000.00,CE      ,00003655.00,00003795.85,00003625.00,00003711.85,000000000376750,            83050,             1661,              993,     1468955572.50,      306255572.50
OPTIDX    ,NIFTY     ,30/09/2021,00014000.00,PE      ,00000000.95,00000001.05,00000000.25,00000000.45,000000000568825,           279950,             5599,             3024,     3919488660.00,         188660.00
OPTIDX    ,NIFTY     ,30/09/2021,00014150.00,CE      ,00003500.00,00003500.00,00003500.00,00003500.00,000000000000200,              050,              001,              001,         882500.00,         175000.00
OPTIDX    ,NIFTY     ,30/09/2021,00014150.00,PE      ,00000000.95,00000001.15,00000000.40,00000000.65,000000000005450,           404850,             8097,             7633,     5728931510.00,         304010.00
OPTIDX    ,NIFTY     ,30/09/2021,00014200.00,CE      ,00003518.20,00003518.20,00003510.00,00003510.00,000000000008550,              300,              006,              004,        5313820.00,        1053820.00
OPTIDX    ,NIFTY     ,30/09/2021,00014200.00,PE      ,00000001.00,00000001.00,00000000.25,00000000.35,000000000103350,            57550,             1151,              729,      817245997.50,          35997.50
OPTIDX    ,NIFTY     ,30/09/2021,00014250.00,PE      ,00000001.35,00000001.85,00000000.25,00000000.30,000000000003200,           497750,             9955,             9632,     7093304937.50,         367437.50
OPTIDX    ,NIFTY     ,30/09/2021,00014300.00,CE      ,00003410.00,00003495.00,00003410.00,00003485.00,000000000001300,              450,              009,              009,        7992950.00,        1557950.00
OPTIDX    ,NIFTY     ,30/09/2021,00014300.00,PE      ,00000001.15,00000001.15,00000000.30,00000000.50,000000000013700,           248250,             4965,             3305,     3550130377.50,         155377.50
OPTIDX    ,NIFTY     ,30/09/2021,00014350.00,PE      ,00000001.20,00000001.80,00000000.45,00000000.50,000000000001150,            23150,              463,              431,      332219100.00,          16600.00
